instance=10,n=25,m=10,d=5,type=B2
BinType:1 cost=723
Link82: itemNo1=16, itemNo2=24, cost=71
Link83: itemNo1=17, itemNo2=3, cost=35
Link84: itemNo1=17, itemNo2=5, cost=73
Link85: itemNo1=17, itemNo2=6, cost=26
Link86: itemNo1=17, itemNo2=15, cost=83
Link87: itemNo1=17, itemNo2=16, cost=52
Link88: itemNo1=17, itemNo2=24, cost=65
Link89: itemNo1=18, itemNo2=3, cost=43
Link90: itemNo1=18, itemNo2=10, cost=3
Link91: itemNo1=18, itemNo2=11, cost=12
Link92: itemNo1=18, itemNo2=13, cost=68
Link93: itemNo1=18, itemNo2=24, cost=21
Link94: itemNo1=18, itemNo2=25, cost=64
Link95: itemNo1=19, itemNo2=2, cost=13
Link96: itemNo1=19, itemNo2=3, cost=5
Link97: itemNo1=19, itemNo2=11, cost=3
Link98: itemNo1=19, itemNo2=13, cost=4
Link99: itemNo1=19, itemNo2=14, cost=54
Link100: itemNo1=19, itemNo2=15, cost=99
Link101: itemNo1=19, itemNo2=16, cost=58
Link102: itemNo1=19, itemNo2=20, cost=88
Link103: itemNo1=19, itemNo2=23, cost=72
Link104: itemNo1=20, itemNo2=17, cost=37
Link105: itemNo1=20, itemNo2=18, cost=61
Link106: itemNo1=20, itemNo2=22, cost=8
Link107: itemNo1=21, itemNo2=3, cost=63
Link108: itemNo1=21, itemNo2=6, cost=89
Link109: itemNo1=21, itemNo2=7, cost=60
Link110: itemNo1=21, itemNo2=8, cost=11
Link111: itemNo1=21, itemNo2=10, cost=64
Link112: itemNo1=21, itemNo2=23, cost=67
Link113: itemNo1=21, itemNo2=25, cost=8
Link114: itemNo1=22, itemNo2=2, cost=94
Link115: itemNo1=22, itemNo2=7, cost=40
Link116: itemNo1=22, itemNo2=11, cost=75
Link117: itemNo1=22, itemNo2=15, cost=12
Link118: itemNo1=22, itemNo2=21, cost=95
Link119: itemNo1=23, itemNo2=2, cost=87
Link120: itemNo1=23, itemNo2=11, cost=97
Link121: itemNo1=23, itemNo2=12, cost=26
Link122: itemNo1=23, itemNo2=18, cost=43
Link123: itemNo1=23, itemNo2=19, cost=83
Link124: itemNo1=23, itemNo2=21, cost=52
Link125: itemNo1=23, itemNo2=25, cost=76
Link126: itemNo1=24, itemNo2=10, cost=50
Link127: itemNo1=24, itemNo2=17, cost=83
Link128: itemNo1=24, itemNo2=21, cost=29
Link129: itemNo1=24, itemNo2=25, cost=29
Link130: itemNo1=25, itemNo2=2, cost=91
Link131: itemNo1=25, itemNo2=15, cost=16
Link132: itemNo1=25, itemNo2=17, cost=32
Link133: itemNo1=25, itemNo2=18, cost=37
